user_id,car_id,date_rented,rent_status
44,12,2025-01-08,FINISHED
4,2,2025-01-16,FINISHED
1,9,2025-01-25,FINISHED
7,13,2024-09-11,ONGOING
1,15,2025-05-24,FINISHED
1,11,2024-07-07,FINISHED
46,5,2025-04-01,ONGOING
20,9,2024-12-20,ONGOING
20,13,2025-01-31,ONGOING
39,18,2024-09-10,FINISHED
48,9,2024-08-21,ONGOING
17,10,2025-05-15,FINISHED
57,18,2025-04-18,ONGOING
40,5,2025-01-16,FINISHED
5,1,2024-06-07,ONGOING
57,20,2025-04-02,ONGOING
15,13,2025-04-08,FINISHED
11,5,2024-11-04,ONGOING
17,7,2025-02-16,ONGOING
51,16,2024-11-24,ONGOING
15,17,2024-09-24,FINISHED
36,15,2024-09-18,FINISHED
53,2,2024-06-08,FINISHED
28,8,2024-07-25,ONGOING
7,18,2025-02-21,ONGOING
10,9,2025-03-06,FINISHED
42,1,2025-04-06,FINISHED
16,5,2024-07-14,FINISHED
55,1,2024-12-10,ONGOING
4,10,2024-10-24,FINISHED
